frame.time_epoch,ip.src,ip.dst,frame.len,tcp.srcport,tcp.dstport
1751013991.186704000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.186709000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.186713000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.186717000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.186720000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.186724000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.186728000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.186731000,17.242.13.4,172.16.10.60,1057,5223,60512
1751013991.187018000,172.16.10.60,17.242.13.4,66,60512,5223
1751013991.187237000,172.16.10.60,17.242.13.4,66,60512,5223
1751013991.194736000,172.16.10.60,17.242.13.4,98,60512,5223
1751013991.242453000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.303407000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.303416000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.303418000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.303420000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.303422000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.303424000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.303425000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.303469000,172.16.10.60,17.242.13.4,1046,60512,5223
1751013991.310690000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.310694000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.310696000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.310699000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.312306000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.312309000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.312312000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.312314000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.312316000,17.242.13.4,172.16.10.60,106,5223,60512
1751013991.312461000,172.16.10.60,17.242.13.4,66,60512,5223
1751013991.509539000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.509544000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.509547000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.509550000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.509555000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.509558000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.509563000,17.242.13.4,172.16.10.60,1494,5223,60512
1751013991.509847000,172.16.10.60,17.242.13.4,66,60512,5223
1751013991.510051000,172.16.10.60,17.242.13.4,66,60512,5223
1751013991.548183000,,,86,,
1751013991.551421000,,,78,,
1751013991.731345000,17.242.13.4,172.16.10.60,545,5223,60512
1751013991.731616000,172.16.10.60,17.242.13.4,66,60512,5223
1751013991.737997000,172.16.10.60,17.242.13.4,98,60512,5223
1751013991.746022000,17.242.13.4,172.16.10.60,145,5223,60512
1751013991.746242000,172.16.10.60,17.242.13.4,66,60512,5223
1751013991.749585000,172.16.10.60,17.242.13.4,98,60512,5223
1751013991.797350000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.802379000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.802389000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.802390000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.802392000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.802395000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.802397000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.802399000,172.16.10.60,17.242.13.4,1494,60512,5223
1751013991.802442000,172.16.10.60,17.242.13.4,534,60512,5223
1751013991.809887000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.809889000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.809891000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.810509000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.810512000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.810699000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.810702000,17.242.13.4,172.16.10.60,78,5223,60512
1751013991.810704000,17.242.13.4,172.16.10.60,66,5223,60512
1751013991.811535000,17.242.13.4,172.16.10.60,106,5223,60512
1751013991.811626000,172.16.10.60,17.242.13.4,66,60512,5223
1751013992.311585000,17.242.13.4,172.16.10.60,145,5223,60512
1751013992.311850000,172.16.10.60,17.242.13.4,66,60512,5223
1751013992.315931000,172.16.10.60,17.242.13.4,98,60512,5223
1751013992.368235000,17.242.13.4,172.16.10.60,66,5223,60512
1751013993.335619000,17.242.13.4,172.16.10.60,457,5223,60512
1751013993.335892000,172.16.10.60,17.242.13.4,66,60512,5223
1751013993.341275000,172.16.10.60,17.242.13.4,98,60512,5223
1751013993.347763000,17.242.13.4,172.16.10.60,66,5223,60512
1751013994.987376000,,,279,,
1751013994.987458000,,,272,,
1751013994.987522000,,,272,,
1751013994.996685000,,,87,,
1751013994.996688000,,,87,,
1751013994.997557000,,,91,,
1751013994.999929000,,,643,,
1751013994.999932000,,,570,,
1751013995.000182000,,,97,,
1751013995.000210000,,,84,,
1751013995.000212000,,,84,,
1751013995.000424000,,,97,,
1751013995.001609000,,,592,,
1751013995.001612000,,,84,,
1751013995.001779000,,,97,,
1751013995.002978000,,,1292,,
1751013995.003013000,,,1292,,
1751013995.005067000,,,139,,
1751013995.008308000,,,85,,
1751013995.010533000,,,102,,
1751013995.010535000,,,1292,,
1751013995.020445000,,,1292,,
1751013995.028331000,,,1292,,
1751013995.028528000,,,94,,
1751013995.035053000,,,86,,
1751013995.043886000,,,1292,,
1751013995.051926000,,,1292,,
1751013995.066394000,,,1292,,
1751013995.069927000,,,1292,,
1751013995.069930000,,,362,,
1751013995.070098000,,,992,,
1751013995.070427000,,,107,,
1751013995.070430000,,,86,,
1751013995.070997000,,,140,,
1751013995.071100000,,,93,,
1751013995.071473000,,,1288,,
1751013995.071504000,,,1081,,
1751013995.073426000,,,1292,,
1751013995.073430000,,,1292,,
1751013995.073607000,,,1292,,
1751013995.078327000,,,182,,
1751013995.078459000,,,95,,
1751013995.079048000,,,91,,
1751013995.079050000,,,87,,
1751013995.079184000,,,95,,
1751013995.080931000,,,89,,
1751013995.216949000,,,726,,
1751013995.217818000,,,96,,
1751013995.217821000,,,237,,
1751013995.218044000,,,97,,
1751013995.248158000,,,94,,
1751013995.250174000,,,86,,
1751013995.252874000,,,84,,
1751013995.252945000,,,95,,
1751013996.240304000,,,98,61558,443
1751013996.245321000,,,42,,
1751013996.245405000,,,42,,
1751013996.445987000,172.16.10.60,96.7.128.175,78,61559,443
1751013996.454412000,,,74,61553,443
1751013996.494130000,,,86,443,61553
1751013996.501030000,,,94,443,61558
1751013996.501161000,,,86,61558,443
1751013996.501891000,,,407,61558,443
1751013996.683979000,96.7.128.175,172.16.10.60,74,443,61559
1751013996.684118000,172.16.10.60,96.7.128.175,54,61559,443
1751013996.758907000,172.16.10.60,17.248.239.65,90,57371,443
1751013996.759403000,172.16.10.60,17.248.239.65,66,57371,443
1751013996.766139000,17.248.239.65,172.16.10.60,66,443,57371
1751013996.766318000,172.16.10.60,17.248.239.65,66,57371,443
1751013996.766450000,17.248.239.65,172.16.10.60,66,443,57371
1751013996.771905000,,,1482,443,61558
1751013996.771909000,,,1404,443,61558
1751013996.772071000,,,86,61558,443
1751013996.782838000,,,92,61558,443
1751013996.782913000,,,144,61558,443
1751013996.783140000,,,172,61558,443
1751013996.783276000,,,145,61558,443
1751013997.125693000,,,86,443,61558
1751013997.125696000,,,86,443,61558
1751013997.125698000,,,86,443,61558
1751013997.125700000,,,86,443,61558
1751013997.125702000,,,357,443,61558
1751013997.125708000,,,357,443,61558
1751013997.125711000,,,147,443,61558
1751013997.125714000,,,117,443,61558
1751013997.125717000,,,283,443,61558
1751013997.125719000,,,1373,443,61558
1751013997.125930000,,,86,61558,443
1751013997.126396000,,,117,61558,443
1751013997.126599000,,,110,61558,443
1751013997.128778000,,,86,61558,443
1751013997.432994000,,,98,443,61558
1751013997.432996000,,,86,443,61558
1751013997.432999000,,,86,443,61558
1751013997.433002000,,,110,443,61558
1751013997.433004000,,,86,443,61558
1751013997.433197000,,,117,61558,443
1751013997.433300000,,,98,61558,443
1751013997.433419000,,,74,61558,443
1751013997.433458000,,,74,61558,443
1751013997.739257000,,,98,443,61558
1751013997.739259000,,,98,443,61558
1751013997.739406000,,,74,61558,443
1751013997.739460000,,,74,61558,443
1751013999.581609000,172.16.10.78,224.0.0.251,136,,
1751013999.683990000,,,156,,
1751014000.723591000,,,42,,
1751014003.793386000,,,74,61322,5228
1751014003.887880000,,,86,5228,61322
1751014005.111030000,172.16.10.72,224.0.0.251,77,,
1751014005.216118000,,,97,,
1751014006.135198000,172.16.10.72,224.0.0.251,77,,
1751014006.135201000,,,97,,
1751014006.136279000,,,659,,
1751014006.137122000,172.16.10.72,224.0.0.251,639,,
1751014006.237703000,172.16.10.76,224.0.0.251,353,,
1751014006.241188000,,,373,,
1751014006.241945000,172.16.10.70,224.0.0.251,507,,
1751014006.245329000,,,527,,
1751014008.735460000,,,86,,
1751014008.756387000,,,78,,
1751014008.773937000,,,1292,,
1751014008.773980000,,,1292,,
1751014008.774018000,,,1292,,
1751014008.774346000,,,137,,
1751014008.786504000,,,102,,
1751014008.786507000,,,102,,
1751014008.786510000,,,1292,,
1751014008.786513000,,,1292,,
1751014008.799266000,,,1292,,
1751014008.811058000,,,1292,,
1751014008.834915000,,,1292,,
1751014008.844256000,,,1292,,
1751014008.845626000,,,1292,,
1751014008.848371000,,,474,,
1751014008.848374000,,,880,,
1751014008.848378000,,,268,,
1751014008.848382000,,,86,,
1751014008.848890000,,,140,,
1751014008.849007000,,,93,,
1751014008.851279000,,,1292,,
1751014008.851282000,,,1292,,
1751014008.851469000,,,175,,
1751014008.858171000,,,182,,
1751014008.858304000,,,95,,
1751014012.074264000,172.16.10.72,224.0.0.251,87,,
1751014012.176430000,,,107,,
1751014014.341140000,17.242.13.4,172.16.10.60,335,5223,60512
1751014014.341500000,172.16.10.60,17.242.13.4,66,60512,5223
1751014014.346875000,172.16.10.60,17.242.13.4,98,60512,5223
1751014014.368751000,172.16.10.60,8.8.8.8,230,,
1751014014.369409000,172.16.10.60,8.8.8.8,230,,
1751014014.370279000,17.242.13.4,172.16.10.60,66,5223,60512
1751014014.380600000,8.8.8.8,172.16.10.60,79,,
1751014014.380603000,8.8.8.8,172.16.10.60,629,,
1751014014.380605000,8.8.8.8,172.16.10.60,66,,
1751014014.381079000,172.16.10.60,8.8.8.8,75,,
1751014014.381439000,172.16.10.60,8.8.8.8,76,,
1751014014.383093000,8.8.8.8,172.16.10.60,79,,
1751014014.383517000,8.8.8.8,172.16.10.60,578,,
1751014014.383520000,8.8.8.8,172.16.10.60,66,,
1751014014.383687000,172.16.10.60,8.8.8.8,75,,
1751014014.383815000,172.16.10.60,8.8.8.8,76,,
1751014014.425085000,8.8.8.8,172.16.10.60,73,,
1751014014.425088000,8.8.8.8,172.16.10.60,71,,
1751014014.425091000,8.8.8.8,172.16.10.60,73,,
